source,title,url,date,summary,keyword_matched,scraped_at
CoinTelegraph,Solv Protocol offers 10% bounty after $2.7M vault exploit,https://cointelegraph.com/news/hacker-steals-nearly-3-million-from-solv-protocol?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-06,"Crypto security researchers say the hacker exploited a bug allowing them to mint tokens, before swapping the freely-gained tokens for another tied to Bitcoin.",exploit,2026-03-06 13:42:25
Decrypt.co,FATF Flags Peer-to-Peer Stablecoin Transfers as Top Money Laundering Risk,https://decrypt.co/360087/fatf-flags-peer-to-peer-stablecoin-transfers-as-top-money-laundering-risk,2026-03-05,The Financial Action Task Force wants issuers to embed freeze and deny-list controls directly into smart contracts.,smart contract,2026-03-06 13:42:31
Decrypt.co,"Apple iPhone Hacking Kit Used By Spies, Crypto Scams Could Have US Intelligence Origins",https://decrypt.co/359927/apple-iphone-hacking-kit-used-by-spies-crypto-scams-could-have-us-intelligence-origins,2026-03-04,Researchers said a sophisticated exploit kit with 23 iOS vulnerabilities is being used by espionage and cybercrime campaigns.,exploit,2026-03-06 13:42:31
Google News,CrossCurve Threatens Legal Action After $3M Cross-Chain Bridge Exploit - Yahoo Finance,https://news.google.com/rss/articles/CBMiigFBVV95cUxNbElpUUlleHVaVU9NSVF2bzBJX21BRURYLVBWNTIxQkxSR1MxVWxaRzVlcXVXVW1MY0dJZ21tM1d4V3lVcFY0Z25QZU4wVy1JU2kzQUlzX0tpLVVoRmtQTFByZUt3TkFZa0FJYzhyNFRTVlloaVR5bWF0LTA5T3o0RVhqWUVCQlQ3aVE?oc=5,2026-02-01,CrossCurve Threatens Legal Action After $3M Cross-Chain Bridge Exploit &nbsp;&nbsp; Yahoo Finance,exploit,2026-03-06 13:42:41
Google News,CrossCurve bridge exploited for approximately $3 million across multiple chains via spoofed messages - The Block,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPZ001QmRxdGdJUml0ejBXTWVKRDktS2dFQkxwWW5qNkZMZWFOdzFSRjZHTVk0SjNvR0htTGhTZHRZeTZSeVhOTXlyaGZMbjdhVG11ckNMN01UaFEtdkNhV1NmcjhVUTRJT0pjYWRQUEVuVWE4RzhLYUxuNkZtLUd4aDdlMEFUbDgya0NtRkpnMm42TlRvcmo3LW1tbFBsZ0tZbmZrSldRSXFjWmdNaFJjT3hCRXlhWFZGOE5TM3h3cWZuVzVHTnFpeUk3Z21WcGpJ?oc=5,2026-02-01,CrossCurve bridge exploited for approximately $3 million across multiple chains via spoofed messages &nbsp;&nbsp; The Block,exploit,2026-03-06 13:42:41
Google News,"Crypto protocol CrossCurve under attack, $3M reportedly exploited - TradingView",https://news.google.com/rss/articles/CBMixgFBVV95cUxQcFBLWmpBU3BTam9aUDNKb3ZRXzkxRkRYMXZQdXM3RHpQZE5jN0VUTktLNkVVUTktY2RhS2xTZ1hrZzNpZFBlandTUXE1Ukw3cXBPd3p1LVFSV0xpWHBZNUhhUDYyeFZSQXpQZnJRQzdEODRfaGVDTXluaGJWcVV4dG0zY0RtdjU5bEpEZGJVaFNtQzVqdHdkR0FWbEhVVUhJNWtmWGl5alJua1I1VlhyYkp0UVFoNEJoNnBjdGFydUpvQXBKalE?oc=5,2026-02-01,"Crypto protocol CrossCurve under attack, $3M reportedly exploited &nbsp;&nbsp; TradingView",exploit,2026-03-06 13:42:41
Google News,CrossCurve Bridge Hacked for $3M After Smart Contract Validation Vulnerability Exploited - The Cyber Express,https://news.google.com/rss/articles/CBMibkFVX3lxTE81U256MzBzMVVqWVZwWDhtM3pGMkNnTkdaRDlGa2haa2ViVTRQM21Gd3ZSRlBKeGF2WC1GTkRqRHJkMDU3Vk1Uc1dXdHVVQkdRN003ei1MTWdtRHU0ekpGWHZTRmtZSk4wemxTR21R?oc=5,2026-01-31,CrossCurve Bridge Hacked for $3M After Smart Contract Validation Vulnerability Exploited &nbsp;&nbsp; The Cyber Express,smart contract,2026-03-06 13:42:38
Google News,Recent Smart Contract Vulnerabilities and Industry Response - vocal.media,https://news.google.com/rss/articles/CBMikwFBVV95cUxPaEtDMVZwRWZzSXRZWTU5cU9wVTBrM1RNT3JtaU1MUlZ0cTZVVThhVzhEMlVvX3ItM1k5enJUOHJvZUZJQ19ZSXl4RmJXbW5TLVQwX1A0aFNmNWxiRVRDRXhSZHB2NVk1emJOZ3ZrY0NxMS05Zk5lRkQ5Ykk2ZHI4dU5PVDhvSndRWVBRdVktaTNxRDQ?oc=5,2026-01-27,Recent Smart Contract Vulnerabilities and Industry Response &nbsp;&nbsp; vocal.media,smart contract,2026-03-06 13:42:41
Google News,Matcha Meta users hit in $13.4 million SwapNet contract exploit - The Block,https://news.google.com/rss/articles/CBMickFVX3lxTE94UEtXX0xJNGdmZWdTOHhiS21nZFVhYngzcFRKZ1NFal93TmxUUlAza0JiM0N4STJxa3FRQ3ZJVE50RWhFTlZESzZ2MUp1c20zRmhFX3JZRjZxeTRHMTljS19VMzRiY2xaejZJMXpwWndzQQ?oc=5,2026-01-27,Matcha Meta users hit in $13.4 million SwapNet contract exploit &nbsp;&nbsp; The Block,exploit,2026-03-06 13:42:41
Google News,Matcha Meta Hit by $16.8M SwapNet Smart Contract Hack - KuCoin,https://news.google.com/rss/articles/CBMijwFBVV95cUxQMUJYM2dzTWM4cVlYS3V5dWJ1bTdkQzA1cHJldDVPeXJCMUp6WWwwMzE0V2tnQXV5NnN6VGxrc3VPbDdQRWVzMUpBRm9jQ0hpbmpOYlR5UGh5c29IbDMtdmhDTkN6NU5pUWxxQTFxTFRjdi0ycFhBOUhURE10OTRHQTZqckkybG1MSjhMeUJoTQ?oc=5,2026-01-26,Matcha Meta Hit by $16.8M SwapNet Smart Contract Hack &nbsp;&nbsp; KuCoin,smart contract,2026-03-06 13:42:38
Google News,Matcha Meta breach tied to SwapNet exploit drains up to $16.8M - TradingView,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNV1RzTFNUcy1MaXZEZnpTbjlJQUhNNWV2bnN0WVB6MWozcVdTQnN6b3Q2TnR1dlk4cWg2aU1CY0JZYjgyWU9sSmJVakhmMFBlUEw1clhsTkQ1OF9GYUNsYXBwX0Y4SVpzVmw2Vk9TX1NzWGl6VVpkSFJ0VXpCSnZmMmVqWEEwa0pjOWs3N1VtdXhBbW5GQ25HV3VVUHBGZnFReWNybWdJdUJtNnBHLWpVODRkUGNuVWFJTGxFZDN3dk5PbGM?oc=5,2026-01-26,Matcha Meta breach tied to SwapNet exploit drains up to $16.8M &nbsp;&nbsp; TradingView,exploit,2026-03-06 13:42:41
Google News,Matcha Meta breach tied to SwapNet exploit drains up to $16.8M - Binance,https://news.google.com/rss/articles/CBMiY0FVX3lxTFB6cG1CNWk0X3ZGZ3RELTdFUExCR3VjaXZxc3dHWjVMUXZrQm0yb1hEZVZwd0JlN3ZUNjhsUFh2bXdRY0RQVHZ5dEQyTDNVNmxKTXFJcjZHc3ctS3dlRGp1X3gtdw?oc=5,2026-01-26,Matcha Meta breach tied to SwapNet exploit drains up to $16.8M &nbsp;&nbsp; Binance,exploit,2026-03-06 13:42:41
Google News,Matcha Meta Breach Drains $16.8M via SwapNet Exploit — Users Urged to Revoke Access - Yahoo Finance,https://news.google.com/rss/articles/CBMif0FVX3lxTE8tRzAyek1xWWFQOFdJcTk5TWM5UTJZNkR5MkZpUHBnSEloNkdDZUhaWXF0ZGJiSmtuSkJ2Mmdfbkc3dTVTZG1wTzF0UXZRY2VLRkVmRXpjd25wMzdNUGRJZXliaUdLUG1ianpvSTB3am4ySXptaGtwU0hUc3U2MzQ?oc=5,2026-01-26,Matcha Meta Breach Drains $16.8M via SwapNet Exploit — Users Urged to Revoke Access &nbsp;&nbsp; Yahoo Finance,exploit,2026-03-06 13:42:41
Google News,Saga pauses EVM chain following smart contract exploit - The Block,https://news.google.com/rss/articles/CBMia0FVX3lxTE9HU243cFhjTG1ZUGRPdGFldGgwTVBlaldwaGxYbDVzdUNHQW1PcUtENTJMRjJGQ2p4ODBFeUNvRXF3X1ZfY25mZVFhZ2tsZWcxSkhLSXlLU3JlMlJsQVdqb3M4WVVoVW5SQVQ4?oc=5,2026-01-21,Saga pauses EVM chain following smart contract exploit &nbsp;&nbsp; The Block,smart contract,2026-03-06 13:42:41
Google News,Saga EVM chain paused following $7M smart contract exploit - crypto.news,https://news.google.com/rss/articles/CBMifkFVX3lxTFA0NXpZSHROTGdJVjhhY2tEeFYxdW9xaEJDOTFvd2p4aXVhbDJHbjUxUDNtdFVfMmcwNHA4VFRUUWpNb3lURURxRDFGLTk1eXBudzViRVU0bzZlSXVvQjBPS3NZeGU0dHBKYzVVRnBRd21oWGZUeGFlZ0ZIYUU1dw?oc=5,2026-01-21,Saga EVM chain paused following $7M smart contract exploit &nbsp;&nbsp; crypto.news,smart contract,2026-03-06 13:42:41
Google News,Makina Finance suffers $5 million stablecoin pool exploit: CertiK - The Block,https://news.google.com/rss/articles/CBMic0FVX3lxTE9tRlFxQ1dDeUpQWGdjQ29GSGR1NTFVM3JtZFo1ZTdXSG1hbURhZDNpWWFYaXk5bFR4bGtLSzRnRV9fNFFncGJfdHlIV0xBMlVyVUppeFpRRjRGMThwS2hZcmdNeGF1WGtkb3kzUkJhS2w3Qk0?oc=5,2026-01-20,Makina Finance suffers $5 million stablecoin pool exploit: CertiK &nbsp;&nbsp; The Block,exploit,2026-03-06 13:42:41
Google News,A Massive Security Breach Hits Makina Finance: $5 Million Drained in Flash Loan Attack - Bitget,https://news.google.com/rss/articles/CBMiXkFVX3lxTE1EZWN4cmxVWnJYNDFqTVFubS10eFRoMlRfR1AxXzB0UGl0TktLLUxMME5mMnZkcHd5VEhZbWZfVjZLT0d4eDBSVHRKajJ1MVh5dUd1aTViRFBlY010WGfSAWNBVV95cUxOSEt5cjJRSEF6RmwzR1hubVk2b3RQUkxDY19hS0RpRHNzUVpuTm1yMUhpenN1LWh3WG02eUpQRDY2MWVKeTdZUFNoRGJoWFRsUGxwTVVBbmRINnFPS2d5T2I2RHM?oc=5,2026-01-20,A Massive Security Breach Hits Makina Finance: $5 Million Drained in Flash Loan Attack &nbsp;&nbsp; Bitget,flash loan,2026-03-06 13:42:49
Google News,"DeFi Protocol MakinaFi Suffers Devastating $4.1M Ethereum Hack, Funds Drained - Bitget",https://news.google.com/rss/articles/CBMiXkFVX3lxTE15M25MZDRmTldOcUpzNUx2RnVhX3g4R1pkaEtENHJKdmNIMFpvRktYaXJzSC1LaHc0UVlqcFNvUWt6OTRiX0FGOWlLemdmRm1ONjZGRHlYTmhEd2VqY1HSAWNBVV95cUxPOWwzU1pnWWEzNXp5RjBfYVdaenBhTTQ0RGQteUVjU1c5aUhlZ3pDT080cFljQjVWSlh0d1YzMTZMdUFiZjZvRENpM0IwUjY4VjNWY0tkYlNRM2Y3NDBURnc3NHM?oc=5,2026-01-19,"DeFi Protocol MakinaFi Suffers Devastating $4.1M Ethereum Hack, Funds Drained &nbsp;&nbsp; Bitget",ethereum hack,2026-03-06 13:42:38
Google News,MakinaFi Exploit Drains $4.1M as MEV Bots Front-Run Transactions - Coinfomania,https://news.google.com/rss/articles/CBMikgFBVV95cUxNb2pWVTR1amJsR0M1ckZRM193aWtJWl9IcmlVcEtkLXp2VEdSWm45azVucFAzelpzNVdzS2FicmVfNE8zRHZjOEYyRGZNbk53VmVkX3JMdVZmYVBQLW5kbkRxbDluSm81b0IxY1pfSXRFSHZ1RnN3ZHoxOUoyWmZlR2x4UFZ1eFpzNGhRLTYzamJZdw?oc=5,2026-01-19,MakinaFi Exploit Drains $4.1M as MEV Bots Front-Run Transactions &nbsp;&nbsp; Coinfomania,exploit,2026-03-06 13:42:49
Google News,Most Common Smart Contract Attacks: Learn How to Spot and Prevent Them - Coin Bureau,https://news.google.com/rss/articles/CBMidkFVX3lxTE9fREYyRktpcHhvZUdHU1REMWx3akRRVG5FZklhbmpNeVhfSVNzM0dNTDY5LUkxTjJ6WVpGbDRESFE5V3ptTC0yaHZJTWtyNVktbXNFb2lIRUw0c09tYThZREtKRmZlRHNLVTZsR0l4OW9mMF9sRlE?oc=5,2026-01-16,Most Common Smart Contract Attacks: Learn How to Spot and Prevent Them &nbsp;&nbsp; Coin Bureau,smart contract,2026-03-06 13:42:41
Google News,Truebit Hack Triggers $26M Loss as Legacy Smart-Contract Flaw Is Exploited - Trade Brains,https://news.google.com/rss/articles/CBMipwFBVV95cUxOdVRnQzdEcW5QNzF6Rzljb0lsWjRMa1h2Sk1Nd3l5Mk9XTjdLM19TbzVxdW91cjQwbzJTa0ZDZHVyY0dEN0VJQlNWeEtreS1jdDlpdGxMN0xLbGtDbFM0RDBNVWZkR0N2b3NpaEk0SzlISUUtZEx0QkpfTzhfOVQ4SHdHbG9TZmdpQjZZUHFCbUpONm1XTnFELXMtSFlQVXFDTFU4ZGcyOA?oc=5,2026-01-14,Truebit Hack Triggers $26M Loss as Legacy Smart-Contract Flaw Is Exploited &nbsp;&nbsp; Trade Brains,exploit,2026-03-06 13:42:38
Google News,Truebit exploit exposes smart-contract flaw behind $26M token mint - TradingView,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNUzh5cFNkNkNOS3l3ckJ3aHM4Zk1TWFVVZDV3dTFySm5LdUkwYnVrYlVWVlRZc215TzhqNlZkdERUZlJXbXhScGkwVVJLV0NnLUFEWTJBWnhqQTBhNDk0QVFIZFBUZUN4bHh3SElsQlJ0OFpvb2FscjhPY092eVFzNzZXOHpoakRXYm1VbzRYY09jNEkyTDRacU94QWlaalpuVE5SMVdZRjQxdFREWWVqcmtuMmJFc1kzZVZ5MVpTcHg5azNoRDJ3Tw?oc=5,2026-01-13,Truebit exploit exposes smart-contract flaw behind $26M token mint &nbsp;&nbsp; TradingView,exploit,2026-03-06 13:42:41
Google News,Truebit hit by $26m exploit as attackers increasingly target older DeFi protocols - dlnews.com,https://news.google.com/rss/articles/CBMitAFBVV95cUxPbVJEVFlPRk5XVnc1Q2dNT3FycnYxUlR3dmN6Z0VGVml1N1YwT0lNYkpEQVZ1d01VdFBTY3hlZ0RHdm03UVdTbXZVWkZNd002ZHRwVnlwVDJGUmI0OVYwNGpRejdMbzdWZUJza2R4R3J4ZFBGTkxTYWtiYU9sUXFGLXpsX0w1bWY4d19ibjNxYmdFQ2NqRUNRXzRFSnpfalJmMk5XWmJudzZCSnRRR3RuYkw0bF8?oc=5,2026-01-09,Truebit hit by $26m exploit as attackers increasingly target older DeFi protocols &nbsp;&nbsp; dlnews.com,exploit,2026-03-06 13:42:41
Google News,"Sei Network Faces $240K Flash Loan Attack, What’s Next? - Bitget",https://news.google.com/rss/articles/CBMiXkFVX3lxTE5pN2xEUnBtOFZaSVpjMXAwS3AzZEZjWVd1LTUtR3ZqblFyRkEzaVpGOUNIelBYU3hxajRaRjNyTDZLcUt4bnlyZllma3k1cFZwOHd4SklvczFNSmxhU3fSAWNBVV95cUxOTGg5S2RaTW5KN2ZXOVlmZEQ3N2x3TUNsTzRpdkJDNmVNUUhtOXo0X2NkOWN4bWFFY1AwUkZDT1A4ZUZBNHF0UjlPWmFSZE5ydjJuMWMzdXRQYU5MTkIyWTNNb2s?oc=5,2026-01-09,"Sei Network Faces $240K Flash Loan Attack, What’s Next? &nbsp;&nbsp; Bitget",flash loan,2026-03-06 13:42:49
Google News,Truebit token price falls 99% after reports of $26M exploit - TradingView,https://news.google.com/rss/articles/CBMivgFBVV95cUxPV2R0LTRZaElvX2V4X0hlTDNZVTNmS3F6VFBvTk5ieXRXWm9uOGRxZkpLWTRBeUw0UkExb1hmRUtDTWlYc3RpVFRxXzhxMW52amFzMkNyZGhYY3R5dHdFM2JaMi1QRERtRHl3UFU0ZkFfamNwOU01NnFpUmdldm1sWXpKUFpmdmh1bmI0QTFMQmJxSEdYZldQall3aW0zc3NicW9rTEZxWHBQdUFfbDNkbUhMNEFPdTVkcFZUMlZ3?oc=5,2026-01-08,Truebit token price falls 99% after reports of $26M exploit &nbsp;&nbsp; TradingView,exploit,2026-03-06 13:42:38
Google News,Truebit's native token TRU plunges 99.9% after $26 million exploit - The Block,https://news.google.com/rss/articles/CBMib0FVX3lxTE5WMFZrbDZCZnp4UVE3QWdWYnJ3bW5qeGdEb19PRlZkYjgtWkhzTC1RUzBRdmh0eXdrQ1FxZ04zUVVFWkpfQTVnWUFyRS1pdGpYbHYwaDZIQmNwS3RVbnZXSUhUeHJvUGxFYmdFMzJOOA?oc=5,2026-01-08,Truebit's native token TRU plunges 99.9% after $26 million exploit &nbsp;&nbsp; The Block,exploit,2026-03-06 13:42:41
Google News,Attacker Deployed 40 Malicious Contracts to Exploit $3.9M From Flow Network - unchainedcrypto.com,https://news.google.com/rss/articles/CBMipgFBVV95cUxPYThGaFZoX1d6UXJKYUc5dVJrNFZNYTRWaTgtTUJNVFE2U2lWTkw4T0VkRXZ6NjQ5MHNQM3FobWtzLTBLdmNlTGU3UldYZ2pSWkdzQXM4VEdkMGNud1g0OXhGT1BOT0NMcXphb1lRR1B1bE9jSmRmTWJRVFRWb2VYZVRfMVRsTUpUUFZrUkdTM3h0STRCRWFwWHRqMG1rZmp3ampiTTlR?oc=5,2026-01-07,Attacker Deployed 40 Malicious Contracts to Exploit $3.9M From Flow Network &nbsp;&nbsp; unchainedcrypto.com,exploit,2026-03-06 13:42:41
Google News,What is a Flash Loan in Crypto? - 99Bitcoins,https://news.google.com/rss/articles/CBMia0FVX3lxTE4tYXZoOGo4VWptdE5fWXRNUmdHcWt4Nm1ZUUxJN2FnRjRtNFRpVEZqRnRJYUZTSWRFRDlYS0w5WVU0ZmdRNThaQzVxeUJneURGdjdmLVQtbllUcl9hZjRZVUdoeXhoMmpmak9R?oc=5,2025-12-22,What is a Flash Loan in Crypto? &nbsp;&nbsp; 99Bitcoins,flash loan,2026-03-06 13:42:49
Google News,Smart Contract Challenges - Hedera,https://news.google.com/rss/articles/CBMiZEFVX3lxTFBjMTRrSlNEUEdUbUZpdDhQMzMxR0xyd0pJdlhFOUh0bGM1YkdnaEw3RGdzMjJ2alVFM3NWRU8tbGlYajhpOWptcUFSMl94V1J1ZWlxOGd2V2l5Umd6a1lhTGhFSnM?oc=5,2025-12-19,Smart Contract Challenges &nbsp;&nbsp; Hedera,smart contract,2026-03-06 13:42:38
